sample_ID_edit,date,salinity_insitu,temp_C,TA,Sample_Type,Sample_Collection,pH_nonTris,new_colonynumber,sample_ID,site,SGD_number,salinity_insitu_initial,TA_initial,mean.blanks,SA_cm2,volume_mL,SGD_dil,start_time,stop_time,deltaTA,timediff,umol.cm2.hr
Cabral_Col5_Dil1_Light,6/10/23,36.6,27.11,2372.132104,colony,Post,NA,13,Cabral_Col5_Dil1_Light,Cabral,0,36.6,2376.083907,-24.351869999999963,91.21875,15,1,08:12:00,09:13:00,28.303673000000344,3660,0.09932251128738347
Cabral_Col5_Dil1_Light,6/10/23,36.6,27.11,2372.132104,colony,Post,NA,13,Cabral_Col5_Dil1_Light,Cabral,0,36.6,2376.083907,-24.351869999999963,91.21875,15,1,08:12:00,09:13:00,28.303673000000344,3660,0.09932251128738347
Cabral_Col5_Dil1_Light,6/10/23,36.6,27.11,2372.132104,colony,Post,NA,13,Cabral_Col5_Dil1_Light,Cabral,0,36.6,2376.083907,-24.351869999999963,91.21875,15,1,08:12:00,09:13:00,28.303673000000344,3660,0.09932251128738347
Cabral_Col5_Dil2_Light,6/10/23,36.5,27.224,2401.373533,colony,Post,NA,13,Cabral_Col5_Dil2_Light,Cabral,0.01,36.5,2387.582754,-3.9195274999999583,66.9375,12,2,08:12:00,09:13:00,-9.871251499999971,3660,-0.04742842388519985
Cabral_Col5_Dil2_Light,6/10/23,36.5,27.224,2401.373533,colony,Post,NA,13,Cabral_Col5_Dil2_Light,Cabral,0.01,36.5,2387.582754,-3.9195274999999583,66.9375,12,2,08:12:00,09:13:00,-9.871251499999971,3660,-0.04742842388519985
Cabral_Col5_Dil2_Light,6/10/23,36.5,27.224,2401.373533,colony,Post,NA,13,Cabral_Col5_Dil2_Light,Cabral,0.01,36.5,2387.582754,-3.9195274999999583,66.9375,12,2,08:12:00,09:13:00,-9.871251499999971,3660,-0.04742842388519985
Cabral_Col5_Dil3_Light,6/10/23,36.6,26.984,2362.172576,colony,Post,NA,13,Cabral_Col5_Dil3_Light,Cabral,0.03,36.6,2385.141998,-3.984335999999985,68.82292,12,3,08:12:00,09:13:00,26.953758000000107,3660,0.12595696682437704
Cabral_Col5_Dil3_Light,6/10/23,36.6,26.984,2362.172576,colony,Post,NA,13,Cabral_Col5_Dil3_Light,Cabral,0.03,36.6,2385.141998,-3.984335999999985,68.82292,12,3,08:12:00,09:13:00,26.953758000000107,3660,0.12595696682437704
Cabral_Col5_Dil3_Light,6/10/23,36.6,26.984,2362.172576,colony,Post,NA,13,Cabral_Col5_Dil3_Light,Cabral,0.03,36.6,2385.141998,-3.984335999999985,68.82292,12,3,08:12:00,09:13:00,26.953758000000107,3660,0.12595696682437704
Cabral_Col5_Dil4_Light,6/10/23,36.5,27.108,2361.937918,colony,Post,NA,13,Cabral_Col5_Dil4_Light,Cabral,0.05,36.5,2416.980703,5.445658999999978,145.03125,22,4,08:12:00,09:13:00,49.59712600000012,3660,0.10826045547685126
Cabral_Col5_Dil4_Light,6/10/23,36.5,27.108,2361.937918,colony,Post,NA,13,Cabral_Col5_Dil4_Light,Cabral,0.05,36.5,2416.980703,5.445658999999978,145.03125,22,4,08:12:00,09:13:00,49.59712600000012,3660,0.10826045547685126
Cabral_Col5_Dil4_Light,6/10/23,36.5,27.108,2361.937918,colony,Post,NA,13,Cabral_Col5_Dil4_Light,Cabral,0.05,36.5,2416.980703,5.445658999999978,145.03125,22,4,08:12:00,09:13:00,49.59712600000012,3660,0.10826045547685126
Cabral_Col5_Dil5_Light,6/10/23,36.5,27.058,2351.838941,colony,Post,NA,13,Cabral_Col5_Dil5_Light,Cabral,0.1,36.5,2396.451536,11.28168699999992,75.54167,10,5,08:12:00,09:13:00,33.330908000000136,3660,0.14234945947659167
Cabral_Col5_Dil5_Light,6/10/23,36.5,27.058,2351.838941,colony,Post,NA,13,Cabral_Col5_Dil5_Light,Cabral,0.1,36.5,2396.451536,11.28168699999992,75.54167,10,5,08:12:00,09:13:00,33.330908000000136,3660,0.14234945947659167
Cabral_Col5_Dil5_Light,6/10/23,36.5,27.058,2351.838941,colony,Post,NA,13,Cabral_Col5_Dil5_Light,Cabral,0.1,36.5,2396.451536,11.28168699999992,75.54167,10,5,08:12:00,09:13:00,33.330908000000136,3660,0.14234945947659167
