FileID_csv,Intercept,umol.L.sec,Temp.C,date,start_time,stop_time,colony_number,site,sample_ID,SGD_dil,light_dark,run_block,blank,chamber_channel,date_coral_collected,date_water_collected,color_code,new_colonynumber,SGD_number,weight_g,volume_mL,SA_cm2,spc,salinity,mV,pH,DO_percent,mg_L,temp_C,pH_night,TrisCalDate,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,Ch.Volume.mL,Ch.Volume.L,umol.sec,date_block
Cabral_Day3_Blank_Dil1_Dark_06102023_O2.csv,133.9724154,-0.001977093,27.26935556,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil1_Dark,1,DARK,RUN9,1,1,NA,6/7/23,N/A,BLANK,0,N/A,0,0,55.3,36.6,-73.7,8.14,67.5,4.34,27.11,8.05,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-0.00128511045,6/10/23
Cabral_Day3_Blank_Dil1_Light_06102023_O2.csv,147.3515923,-0.002371763,27.32535673,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil1_Light,1,LIGHT,RUN9,1,1,NA,6/7/23,N/A,BLANK,0,N/A,0,0,55.3,36.6,-73.7,8.14,67.5,4.34,27.11,8.05,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-0.00154164595,6/10/23
Cabral_Day3_Blank_Dil2_Dark_06102023_O2.csv,152.0059641,-0.00107017,27.22121111,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil2_Dark,2,DARK,RUN9,1,2,NA,6/7/23,N/A,BLANK,0.01,N/A,0,0,55.1,36.5,-74,8.05,68.6,4.44,27.224,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-6.956105000000001e-4,6/10/23
Cabral_Day3_Blank_Dil2_Light_06102023_O2.csv,159.8646532,-0.00116534,27.2585731,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil2_Light,2,LIGHT,RUN9,1,2,NA,6/7/23,N/A,BLANK,0.01,N/A,0,0,55.1,36.5,-74,8.05,68.6,4.44,27.224,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-7.57471e-4,6/10/23
Cabral_Day3_Blank_Dil3_Dark_06102023_O2.csv,128.5088009,-4.93e-4,27.3125,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil3_Dark,3,DARK,RUN9,1,3,NA,6/7/23,N/A,BLANK,0.03,N/A,0,0,55.2,36.6,-75.5,8.07,63.4,4.1,26.984,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-3.2044999999999996e-4,6/10/23
Cabral_Day3_Blank_Dil3_Light_06102023_O2.csv,133.057655,-6.25e-4,27.39904094,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil3_Light,3,LIGHT,RUN9,1,3,NA,6/7/23,N/A,BLANK,0.03,N/A,0,0,55.2,36.6,-75.5,8.07,63.4,4.1,26.984,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-4.0625000000000004e-4,6/10/23
Cabral_Day3_Blank_Dil4_Dark_06102023_O2.csv,144.921531,-9.71e-4,27.2243,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil4_Dark,4,DARK,RUN9,1,4,NA,6/7/23,N/A,BLANK,0.05,N/A,0,0,55.2,36.5,-74.8,8.06,67.8,4.38,27.108,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-6.3115e-4,6/10/23
Cabral_Day3_Blank_Dil4_Light_06102023_O2.csv,153.6382634,-0.001111192,27.287,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil4_Light,4,LIGHT,RUN9,1,4,NA,6/7/23,N/A,BLANK,0.05,N/A,0,0,55.2,36.5,-74.8,8.06,67.8,4.38,27.108,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-7.222748e-4,6/10/23
Cabral_Day3_Blank_Dil5_Dark_06102023_O2.csv,147.8912432,-4.89e-4,27.09793333,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil5_Dark,5,DARK,RUN9,1,5,NA,6/7/23,N/A,BLANK,0.1,N/A,0,0,55.2,36.5,-75.4,8.07,72.1,4.61,27.058,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-3.1785e-4,6/10/23
Cabral_Day3_Blank_Dil5_Light_06102023_O2.csv,152.9811984,-6.59e-4,27.24040351,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil5_Light,5,LIGHT,RUN9,1,5,NA,6/7/23,N/A,BLANK,0.1,N/A,0,0,55.2,36.5,-75.4,8.07,72.1,4.61,27.058,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-4.2835e-4,6/10/23
Cabral_Day3_Blank_Dil6_Dark_06102023_O2.csv,118.3476649,-2.96e-4,27.9779,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil6_Dark,6,DARK,RUN9,1,6,NA,6/7/23,N/A,BLANK,0.5,N/A,0,0,55,36.4,-75.4,8.07,67.9,4.39,27.294,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-1.924e-4,6/10/23
Cabral_Day3_Blank_Dil6_Light_06102023_O2.csv,121.9384028,-5.94e-4,27.34491228,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil6_Light,6,LIGHT,RUN9,1,6,NA,6/7/23,N/A,BLANK,0.5,N/A,0,0,55,36.4,-75.4,8.07,67.9,4.39,27.294,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-3.861e-4,6/10/23
Cabral_Day3_Blank_Dil7_Dark_06102023_O2.csv,133.5093243,-3.4e-4,27.97977778,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil7_Dark,7,DARK,RUN9,1,7,NA,6/7/23,N/A,BLANK,1,N/A,0,0,54.6,36.1,-74.9,8.06,65.2,4.2,27.269,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-2.2100000000000003e-4,6/10/23
Cabral_Day3_Blank_Dil7_Light_06102023_O2.csv,138.0240458,-5.44e-4,27.40938012,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil7_Light,7,LIGHT,RUN9,1,7,NA,6/7/23,N/A,BLANK,1,N/A,0,0,54.6,36.1,-74.9,8.06,65.2,4.2,27.269,8.06,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-3.5360000000000003e-4,6/10/23
Cabral_Day3_Blank_Dil8_Dark_06102023_O2.csv,142.9293001,-6.78e-4,27.11886667,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil8_Dark,8,DARK,RUN9,1,9,NA,6/7/23,N/A,BLANK,2,N/A,0,0,54.3,35.9,-75.5,8.07,67.2,4.35,26.909,8.05,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-4.4070000000000003e-4,6/10/23
Cabral_Day3_Blank_Dil8_Light_06102023_O2.csv,149.2779838,-8.2e-4,27.2671345,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil8_Light,8,LIGHT,RUN9,1,9,NA,6/7/23,N/A,BLANK,2,N/A,0,0,54.3,35.9,-75.5,8.07,67.2,4.35,26.909,8.05,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-5.33e-4,6/10/23
Cabral_Day3_Blank_Dil9_Dark_06102023_O2.csv,137.0986713,-7.25e-4,27.21313333,6/10/23,15:10:00,15:43:00,BLANK,Cabral,Cabral_BlankD3_Dil9_Dark,9,DARK,RUN9,1,10,NA,6/7/23,N/A,BLANK,4,N/A,0,0,53.4,35.2,-75.8,8.08,66.2,4.28,27.163,8.05,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-4.7125e-4,6/10/23
Cabral_Day3_Blank_Dil9_Light_06102023_O2.csv,143.1706555,-4e-4,27.30953216,6/10/23,13:40:00,14:40:00,BLANK,Cabral,Cabral_BlankD3_Dil9_Light,9,LIGHT,RUN9,1,10,NA,6/7/23,N/A,BLANK,4,N/A,0,0,53.4,35.2,-75.8,8.08,66.2,4.28,27.163,8.05,6/14/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,0.65,-2.6000000000000003e-4,6/10/23
Cabral_Day3_Col5_Dil1_Dark_06102023_O2.csv,103.7377714,-0.019550714,27.30250725,6/10/23,10:02:00,10:28:00,5,Cabral,Cabral_Col5_Dil1_Dark,1,DARK,RUN7,0,1,NA,6/7/23,red,13,0,26.1804,15,91.21875,55.3,36.6,-73.7,8.14,67.5,4.34,27.11,8.05,6/14/23,0.05,3.38,0.16,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,0.635,-0.01241470339,6/10/23
