Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
5044396,10/5/23 16:27:34,0.000,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.944,μmol/L,19.813,°C,987.000,hPa,Humid,35,0,,0,24.696,127802,359766.85,32.55,50.20,#N/A
5044402,10/5/23 16:27:36,0.024,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.866,μmol/L,19.819,°C,987.000,hPa,Humid,35,0,,0,24.699,127773,359736.43,32.55,50.20,#N/A
5044405,10/5/23 16:27:37,0.041,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.776,μmol/L,19.819,°C,987.000,hPa,Humid,35,0,,0,24.705,127760,359675.48,32.55,50.20,#N/A
5044408,10/5/23 16:27:38,0.058,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.693,μmol/L,19.838,°C,987.000,hPa,Humid,35,0,,0,24.704,127749,359650.56,32.55,50.20,#N/A
5044413,10/5/23 16:27:39,0.074,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.567,μmol/L,19.850,°C,987.000,hPa,Humid,35,0,,0,24.708,127730,359612.19,32.55,50.20,#N/A
5044417,10/5/23 16:27:40,0.091,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.196,μmol/L,19.875,°C,987.000,hPa,Humid,35,0,,0,24.724,127805,359599.43,32.55,50.20,#N/A
5044422,10/5/23 16:27:41,0.108,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.648,μmol/L,19.838,°C,987.000,hPa,Humid,35,0,,0,24.707,127703,359593.94,32.55,50.20,#N/A
5044426,10/5/23 16:27:42,0.125,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.743,μmol/L,19.826,°C,987.000,hPa,Humid,35,0,,0,24.705,127696,359564.55,32.55,50.20,#N/A
5044429,10/5/23 16:27:43,0.142,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.430,μmol/L,19.887,°C,987.000,hPa,Humid,35,0,,0,24.704,127678,359576.50,32.55,50.20,#N/A
5044432,10/5/23 16:27:44,0.158,OXY_CH3 (PSt7-10),13/9/19 10:46:01,default,183.254,μmol/L,19.912,°C,987.000,hPa,Humid,35,0,,0,24.707,127656,359557.02,32.55,50.20,#N/A
